Region,Confirmed,Deaths,Recovered,active_cases,Recovery_Rate,Mortality_Rate
Austria,15402,580,12779,2043,82.96974418906636,3.7657447084794184
Bangladesh,7103,163,150,6790,2.1117837533436576,2.2948050119667744
Belarus,13181,84,2072,11025,15.71959638874137,0.6372809346787042
Belgium,47859,7501,11283,29075,23.57550304018053,15.673123132535155
Brazil,79685,5513,34132,40040,42.833657526510635,6.918491560519546
Canada,26610,1762,0,24848,0.0,6.621570838030816
Chile,14885,216,8057,6612,54.12831709774941,1.4511252939200538
Colombia,6207,278,1411,4518,22.732398904462702,4.478814241984856
Czech Republic,7579,227,3108,4244,41.008048555218366,2.995118089457712
Denmark,9008,443,6366,2199,70.67051509769094,4.91785079928952
Dominican Republic,6652,293,1228,5131,18.46061334936861,4.404690318701142
Ecuador,24675,883,1557,22235,6.310030395136778,3.578520770010132
Egypt,5268,380,1335,3553,25.341685649202734,7.21336370539104
France,165093,24087,48228,92778,29.212625611019245,14.589958387090912
Germany,161539,6467,120400,34672,74.53308488971703,4.00336760782226
India,33062,1079,8437,23546,25.518722400338756,3.2635654225394712
Indonesia,9771,784,1391,7596,14.236004503121482,8.02374373145021
Iran,93657,5957,73791,13909,78.78855824978379,6.360442892682875
Ireland,20253,1190,13386,5677,66.09391201303511,5.875672739841011
Israel,15834,215,8233,7386,51.99570544398131,1.3578375647341165
Italy,203591,27682,71252,104657,34.9976177728878,13.596868230913941
Japan,13895,413,2368,11114,17.042101475350847,2.972292191435768
Mainland China,68128,4512,63616,0,93.37717238139972,6.622827618600282
Malaysia,5945,100,4087,1758,68.74684608915055,1.682085786375105
Mexico,17799,1732,11423,4644,64.17776279566267,9.730883757514468
Netherlands,38802,4711,0,34091,0.0,12.141126746044018
Norway,7710,207,32,7471,0.4150453955901427,2.684824902723735
Pakistan,15525,343,3425,11757,22.061191626409016,2.209339774557166
Panama,6378,178,527,5673,8.262778300407652,2.790843524615867
Peru,33931,943,10037,22951,29.580619492499483,2.7791694910259057
Philippines,8212,558,1023,6631,12.457379444715052,6.794934242571846
Poland,12640,624,3025,8991,23.931962025316455,4.936708860759493
Portugal,24505,973,1470,22062,5.99877576004897,3.9706182411752704
Qatar,12564,10,1243,11311,9.893346068131168,0.0795924864692773
Romania,11978,693,3569,7716,29.796293204207714,5.785606946067791
Russia,99399,972,10286,88141,10.348192637752895,0.9778770410165092
Saudi Arabia,21402,157,2953,18292,13.79777590879357,0.7335763012802542
Serbia,6630,125,870,5635,13.122171945701357,1.885369532428356
Singapore,15641,14,1188,14439,7.595422287577521,0.08950834345630075
South Africa,5350,103,2073,3174,38.74766355140187,1.925233644859813
South Korea,10765,247,9059,1459,84.15234556432884,2.29447282861124
Spain,236899,24275,132929,79695,56.11209840480542,10.246982891443189
Sweden,20302,2462,1005,16835,4.950251206777657,12.12688405083243
Switzerland,29407,1716,22600,5091,76.8524500969157,5.835345325942803
Turkey,117589,3081,44040,70468,37.452482800261926,2.6201430405905315
UK,165221,26097,0,139124,0.0,15.795207630991218
US,299691,23477,0,276214,0.0,7.833735414143234
Ukraine,9866,250,1103,8513,11.179809446584228,2.533954996959254
United Arab Emirates,11929,98,2329,9502,19.523849442535,0.8215273702741219
